CompanyName,OrderID,ProductName,Quantity,UnitPrice,TotalAfterDiscount
Alfreds Futterkiste,10643,Chartreuse verte,21,18,$283.50
Alfreds Futterkiste,10643,Rössle Sauerkraut,15,45.6,$513.00
Alfreds Futterkiste,10643,Spegesild,2,12,$18.00
Alfreds Futterkiste,10692,Vegie-spread,20,43.9,$878.00
Alfreds Futterkiste,10702,Lakkalikööri,15,18,$270.00
Alfreds Futterkiste,10702,Maple Syrup,6,10,$60.00
Alfreds Futterkiste,10835,Original Frankfurter grüne Soße,2,13,$20.80
Alfreds Futterkiste,10835,Peanut Butter Cups,15,55,$825.00
Alfreds Futterkiste,10952,Grandma's Boysenberry Spread,16,25,$380.00
Alfreds Futterkiste,10952,Rössle Sauerkraut,2,45.6,$91.20
Alfreds Futterkiste,11011,Escargots de Bourgogne,40,13.25,$503.50
Alfreds Futterkiste,11011,Flotemysost,20,21.5,$430.00
Ana Trujillo Emparedados y helados,10308,Gudbrandsdalsost,1,28.8,$28.80
Ana Trujillo Emparedados y helados,10308,Outback Lager,5,12,$60.00
Ana Trujillo Emparedados y helados,10625,Camembert Pierrot,10,34,$340.00
Ana Trujillo Emparedados y helados,10625,Singaporean Hokkien Fried Mee,5,14,$70.00
Ana Trujillo Emparedados y helados,10625,Tofu,3,23.25,$69.75
Ana Trujillo Emparedados y helados,10759,Mascarpone Fabioli,10,32,$320.00
Ana Trujillo Emparedados y helados,10926,Konbu,10,6,$60.00
Ana Trujillo Emparedados y helados,10926,Mozzarella di Giovanni,10,34.8,$348.00
Ana Trujillo Emparedados y helados,10926,Queso Cabrales,2,21,$42.00
Ana Trujillo Emparedados y helados,10926,Teatime Chocolate Biscuits,7,9.2,$64.40
Antonio Moreno Taquería,10365,Queso Cabrales,24,16.8,$403.20
Antonio Moreno Taquería,10507,Chocolade,15,12.75,$162.56
Antonio Moreno Taquería,10507,Ipoh Coffee,15,46,$586.50
Antonio Moreno Taquería,10535,Boston Crab Meat,10,18.4,$165.60
Antonio Moreno Taquería,10535,Peanut Butter Cups,15,55,$742.50
Antonio Moreno Taquería,10535,Queso Cabrales,50,21,$945.00
Antonio Moreno Taquería,10535,Ravioli Angelo,5,19.5,$87.75
Antonio Moreno Taquería,10573,Carnival Cotton Candy,18,39,$702.00
Antonio Moreno Taquería,10573,Perth Pasties,25,32.8,$820.00
Antonio Moreno Taquería,10573,Sasquatch Ale,40,14,$560.00
Antonio Moreno Taquería,10677,Geitost,8,2.5,$17.00
Antonio Moreno Taquería,10677,Gumbär Gummibärchen,30,31.23,$796.37
Antonio Moreno Taquería,10682,Geitost,30,2.5,$75.00
Antonio Moreno Taquería,10682,Louisiana Hot Spiced Okra,4,17,$68.00
Antonio Moreno Taquería,10682,Rhönbräu Klosterbier,30,7.75,$232.50
Antonio Moreno Taquería,10856,Chang,20,19,$380.00
